;Mkt-RF;SMB;HML;RMW;CMA;RF
31-08-2018;-2,65;0,86;-2,65;0,88;-1,74;0,16
30-09-2018;0,12;-1,35;2,34;-0,53;0,64;0,15
31-10-2018;-8,54;-1,5;1,47;-0,36;1,15;0,19
30-11-2018;-1,31;-1,11;-0,57;0,78;0,46;0,18
31-12-2018;-4,59;-0,52;0,95;0,7;0;0,19
31-01-2019;6,19;0,55;-0,95;1,64;-1,28;0,21
28-02-2019;2,93;-1,46;-1,23;-0,01;-0,16;0,18
31-03-2019;0,58;-1,8;-2,33;1,24;-0,87;0,19
30-04-2019;3,7;0,14;-1,04;0,34;-0,29;0,21
31-05-2019;-5,34;1,21;-1,54;-0,59;0,01;0,21
30-06-2019;5,87;-2,56;-1,32;1,49;0,1;0,18
31-07-2019;-2,56;-1,33;0,09;-1,16;-0,03;0,19
31-08-2019;-2,4;-0,66;-1,96;0,88;0;0,16
30-09-2019;2,15;-0,67;3,08;-0,46;1,31;0,18
31-10-2019;3,27;0,83;-0,5;1,25;-1,55;0,15
30-11-2019;1,77;1,89;-2,24;1,31;-1,68;0,12
31-12-2019;4,07;2,71;0,41;-0,39;0,11;0,14
31-01-2020;-2,55;0,12;-2,88;0,56;-1,78;0,13
29-02-2020;-8,98;0,2;-0,74;-0,73;-1,54;0,12
31-03-2020;-15,44;-5,06;-11,3;1,72;-3,04;0,12
30-04-2020;6,7;4,72;-3,82;2,11;-4,12;0
31-05-2020;5,43;0,81;-4,14;2,37;-4,39;0,01
30-06-2020;4,04;-1,01;1,74;-1,78;0,44;0,01
31-07-2020;3,99;2,2;-4,75;0,78;-2,25;0,01
31-08-2020;4,95;2,65;-1,74;0,99;-1,67;0,01
30-09-2020;-2,97;0,53;-3,74;2,32;-1,91;0,01
31-10-2020;-4,72;1,14;-0,2;-0,62;-0,11;0,01
30-11-2020;16,62;1,39;10,76;-3,82;1,69;0,01
31-12-2020;5,67;4,48;-1,77;0,77;-2;0,01
31-01-2021;-1,25;1,73;-0,29;-0,57;-0,2;0
28-02-2021;2,6;1,42;5,73;-1,89;0,84;0
31-03-2021;3,18;-1,57;3,46;0,26;0,55;0
30-04-2021;5,29;1,77;-3,19;1,54;-3,58;0
31-05-2021;4,52;-0,75;2,06;1,17;0,43;0
